Subject,Social condition,Emotional condition,Avg. amplitude
13a,224,Angry,-0.9817181647925756
13a,224,Happy,0.3154224473081297
13a,224,Neutral,-1.478033468920404
13b,224,Angry,-0.9817181647925756
13b,224,Happy,0.3154224473081297
13b,224,Neutral,-1.478033468920404
13a,225,Angry,-0.8060086650794027
13a,225,Happy,0.9496020284034226
13a,225,Neutral,0.555817357951059
13b,225,Angry,2.0212442664844135
13b,225,Happy,1.4426957532228903
13b,225,Neutral,1.7399749791391275
13a,231,Angry,-0.4464135717288944
13a,231,Happy,1.1942543177706042
13a,231,Neutral,0.25824240120273934
13b,231,Angry,1.5993389584316944
13b,231,Happy,1.2238147587583144
13b,231,Neutral,2.0728165901254973
14a,224,Angry,-0.9817181647925756
14a,224,Happy,0.3154224473081297
14a,224,Neutral,-1.478033468920404
14b,224,Angry,-0.9817181647925756
14b,224,Happy,0.3154224473081297
14b,224,Neutral,-1.478033468920404
14a,225,Angry,-0.8060086650794027
14a,225,Happy,0.9496020284034226
14a,225,Neutral,0.555817357951059
14b,225,Angry,2.0212442664844135
14b,225,Happy,1.4426957532228903
14b,225,Neutral,1.7399749791391275
14a,231,Angry,-0.4464135717288944
14a,231,Happy,1.1942543177706042
14a,231,Neutral,0.25824240120273934
14b,231,Angry,1.5993389584316944
14b,231,Happy,1.2238147587583144
14b,231,Neutral,2.0728165901254973
14a,224,Angry,-0.29172109625221265
14a,224,Happy,-0.5885861341431798
14a,224,Neutral,-0.43399273460091536
14b,224,Angry,-0.29172109625221265
14b,224,Happy,-0.5885861341431798
14b,224,Neutral,-0.43399273460091536
14a,225,Angry,-0.5698510265912144
14a,225,Happy,-0.9532287461160895
14a,225,Neutral,-1.6901888203640683
14b,225,Angry,4.104390234087595
14b,225,Happy,4.385372437817789
14b,225,Neutral,2.2320349651756866
14a,231,Angry,-0.8898365763373062
14a,231,Happy,-0.1511689150603603
14a,231,Neutral,-0.22320642596148638
14b,231,Angry,2.8955695321747976
14b,231,Happy,3.5015374889640283
14b,231,Neutral,2.884456960855829
15a,224,Angry,-0.9817181647925756
15a,224,Happy,0.3154224473081297
15a,224,Neutral,-1.478033468920404
15b,224,Angry,-0.9817181647925756
15b,224,Happy,0.3154224473081297
15b,224,Neutral,-1.478033468920404
15a,225,Angry,-0.8060086650794027
15a,225,Happy,0.9496020284034226
15a,225,Neutral,0.555817357951059
15b,225,Angry,2.0212442664844135
15b,225,Happy,1.4426957532228903
15b,225,Neutral,1.7399749791391275
15a,231,Angry,-0.4464135717288944
15a,231,Happy,1.1942543177706042
15a,231,Neutral,0.25824240120273934
15b,231,Angry,1.5993389584316944
15b,231,Happy,1.2238147587583144
15b,231,Neutral,2.0728165901254973
15a,224,Angry,-0.29172109625221265
15a,224,Happy,-0.5885861341431798
15a,224,Neutral,-0.43399273460091536
15b,224,Angry,-0.29172109625221265
15b,224,Happy,-0.5885861341431798
15b,224,Neutral,-0.43399273460091536
15a,225,Angry,-0.5698510265912144
15a,225,Happy,-0.9532287461160895
15a,225,Neutral,-1.6901888203640683
15b,225,Angry,4.104390234087595
15b,225,Happy,4.385372437817789
15b,225,Neutral,2.2320349651756866
15a,231,Angry,-0.8898365763373062
15a,231,Happy,-0.1511689150603603
15a,231,Neutral,-0.22320642596148638
15b,231,Angry,2.8955695321747976
15b,231,Happy,3.5015374889640283
15b,231,Neutral,2.884456960855829
15a,224,Angry,-2.9331696226867856
15a,224,Happy,-2.0076053841305717
15a,224,Neutral,-3.1341172124356973
15b,224,Angry,-2.9331696226867856
15b,224,Happy,-2.0076053841305717
15b,224,Neutral,-3.1341172124356973
15a,225,Angry,-2.8858230102376528
15a,225,Happy,-0.47450717606046927
